Fold,MAE,RMSE,R2
1,0.1466033036179944,0.21723268711642296,0.9712329301459837
2,0.14683399497123614,0.22433990640232881,0.9693718149652566
3,0.14929144499342553,0.22568176273118867,0.9688356311994659
