number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.17342074926836465,2025-12-07 03:45:02.727347,2025-12-07 03:58:43.502987,0 days 00:13:40.775640,0.8487414144205976,5,0.7167097771884452,0.00744666501919809,48,232,COMPLETE
1,0.334064756693231,2025-12-07 03:58:43.505296,2025-12-07 04:14:44.630750,0 days 00:16:01.125454,0.7717099556113427,3,0.8814418697469981,0.0011526786202366989,21,226,COMPLETE
2,0.28831750643904364,2025-12-07 04:14:44.632556,2025-12-07 04:26:55.266866,0 days 00:12:10.634310,0.8914997231202796,2,0.7155477140044098,0.0015575518550132435,40,124,COMPLETE
3,0.18860635635088982,2025-12-07 04:26:55.272778,2025-12-07 04:37:03.808921,0 days 00:10:08.536143,0.9602926973416277,2,0.918200046311592,0.0109934499484545,81,81,COMPLETE
4,0.17185297243174907,2025-12-07 04:37:03.810958,2025-12-07 04:52:02.565361,0 days 00:14:58.754403,0.9088184172923949,4,0.7612299739879239,0.008157414528866784,33,217,COMPLETE
5,0.1896651225086903,2025-12-07 04:52:02.568633,2025-12-07 05:00:44.712500,0 days 00:08:42.143867,0.9615063737878913,4,0.8407596887263333,0.011551550751002965,90,74,COMPLETE
6,0.2697084213790927,2025-12-07 05:00:44.714625,2025-12-07 05:08:47.921107,0 days 00:08:03.206482,0.9789361758995068,5,0.8606625066494823,0.0026591945714577927,57,40,COMPLETE
7,0.16915993765478446,2025-12-07 05:08:47.925080,2025-12-07 05:22:54.470348,0 days 00:14:06.545268,0.9973889807268268,1,0.8922138232349008,0.011615179319293682,67,212,COMPLETE
8,0.18980961848053068,2025-12-07 05:22:54.472981,2025-12-07 05:41:04.132713,0 days 00:18:09.659732,0.9837890166999617,5,0.9509224176295918,0.003967570981509885,31,219,COMPLETE
9,0.24162849382890061,2025-12-07 05:41:04.134421,2025-12-07 05:47:10.964298,0 days 00:06:06.829877,0.7450549665993121,4,0.9062427151461286,0.005521230485815082,35,29,COMPLETE
10,0.15974495475107392,2025-12-07 05:47:10.972440,2025-12-07 05:57:30.753974,0 days 00:10:19.781534,0.8187143805493124,1,0.996862160065841,0.05427136690838524,66,169,COMPLETE
11,0.160024837148683,2025-12-07 05:57:30.755770,2025-12-07 06:07:45.286568,0 days 00:10:14.530798,0.8297577074552439,1,0.9721602801567913,0.05487497911257136,68,169,COMPLETE
12,0.16003490631615894,2025-12-07 06:07:45.291018,2025-12-07 06:18:07.157162,0 days 00:10:21.866144,0.8014339024871442,1,0.999318224688871,0.06289786393891761,69,166,COMPLETE
13,0.16135345453713423,2025-12-07 06:18:07.160431,2025-12-07 06:30:42.673147,0 days 00:12:35.512716,0.8307138722189006,2,0.9989002467235426,0.09361767109022014,99,164,COMPLETE
14,0.16315796414908268,2025-12-07 06:30:42.677576,2025-12-07 06:41:07.797267,0 days 00:10:25.119691,0.7232392971310558,1,0.944585414960863,0.03248628459389162,73,170,COMPLETE
15,0.1658809337338749,2025-12-07 06:41:07.799630,2025-12-07 06:50:58.654404,0 days 00:09:50.854774,0.8876581100211379,2,0.8091781966285321,0.026355069594922332,57,131,COMPLETE
16,0.16248166558449278,2025-12-07 06:50:58.656209,2025-12-07 07:02:18.856754,0 days 00:11:20.200545,0.8003412159904163,1,0.96367198277857,0.031826664945605744,81,186,COMPLETE
17,0.1640779216679223,2025-12-07 07:02:18.859257,2025-12-07 07:09:57.686264,0 days 00:07:38.827007,0.8196757504025284,3,0.9731509318038902,0.056329270514157335,10,103,COMPLETE
18,0.169022805973884,2025-12-07 07:09:57.688384,2025-12-07 07:20:08.269932,0 days 00:10:10.581548,0.7724006021880461,1,0.9237071431556151,0.017981282130887084,48,142,COMPLETE
19,0.1575267310790306,2025-12-07 07:20:08.271539,2025-12-07 07:33:30.124156,0 days 00:13:21.852617,0.8615870600711787,3,0.8131472854717509,0.09628324777081486,61,255,COMPLETE
20,0.15698149422914678,2025-12-07 07:33:30.125331,2025-12-07 07:46:04.416059,0 days 00:12:34.290728,0.9209046881451701,3,0.7980199035469999,0.09538011846433449,60,252,COMPLETE
21,0.15685869389215754,2025-12-07 07:46:04.417582,2025-12-07 07:59:14.932583,0 days 00:13:10.515001,0.9357874970502295,3,0.7992397110594357,0.09397374664297115,60,256,COMPLETE
22,0.1562022185559323,2025-12-07 07:59:14.934015,2025-12-07 08:12:00.931858,0 days 00:12:45.997843,0.9265271348188496,3,0.7888337495305965,0.07528805189581779,51,241,COMPLETE
23,0.15658764123683497,2025-12-07 08:12:00.933135,2025-12-07 08:24:39.304143,0 days 00:12:38.371008,0.9205446217028861,3,0.7685124303643176,0.09916583304062385,46,242,COMPLETE
24,0.15826967473105125,2025-12-07 08:24:39.305976,2025-12-07 08:36:33.365417,0 days 00:11:54.059441,0.9369208671057456,3,0.7619533613113103,0.04073924289797191,47,200,COMPLETE
25,0.1604906494578431,2025-12-07 08:36:33.366980,2025-12-07 08:49:39.196560,0 days 00:13:05.829580,0.9410531241245539,4,0.7650020553701189,0.02152016386238252,42,237,COMPLETE
26,0.15553867643103697,2025-12-07 08:49:39.198272,2025-12-07 09:01:01.001317,0 days 00:11:21.803045,0.885927515848737,4,0.7403760320136192,0.07053613773652936,25,244,COMPLETE
27,0.15797598228876403,2025-12-07 09:01:01.007398,2025-12-07 09:11:23.084791,0 days 00:10:22.077393,0.8654167763327864,4,0.7028227015793284,0.04114001235576228,23,199,COMPLETE
28,0.15545147509975238,2025-12-07 09:11:23.086536,2025-12-07 09:22:28.822274,0 days 00:11:05.735738,0.8914399048581703,4,0.7356616419181516,0.06592564768122608,23,238,COMPLETE
29,0.16053378326607318,2025-12-07 09:22:28.823809,2025-12-07 09:35:42.973885,0 days 00:13:14.150076,0.8802118953995988,5,0.7363757627084945,0.020520684862049495,11,235,COMPLETE
30,0.15671307393596684,2025-12-07 09:35:42.975215,2025-12-07 09:45:49.124986,0 days 00:10:06.149771,0.9044290680733963,4,0.7395044243612768,0.07061902520446177,22,194,COMPLETE
31,0.15516169365006632,2025-12-07 09:45:49.126389,2025-12-07 09:57:10.187530,0 days 00:11:21.061141,0.9225552909296242,4,0.7767958495344323,0.07578027741042573,26,239,COMPLETE
