number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.209299131349503,2025-12-06 16:41:26.744810,2025-12-06 17:36:29.255327,0 days 00:55:02.510517,0.764194141800638,3,0.9462428653783523,0.0049870907285596905,93,82,COMPLETE
1,0.17270350549577415,2025-12-06 17:36:29.258482,2025-12-06 18:00:29.367091,0 days 00:24:00.108609,0.8946036437827809,4,0.8802843256662316,0.06490232225015537,46,42,COMPLETE
2,0.1691929964815168,2025-12-06 18:00:29.368661,2025-12-06 18:18:04.320713,0 days 00:17:34.952052,0.9061465820406872,1,0.825434914267058,0.02116963653823926,65,122,COMPLETE
3,0.18235585417354705,2025-12-06 18:18:04.324961,2025-12-06 18:37:34.235018,0 days 00:19:29.910057,0.9778722540034082,3,0.9652457932106958,0.004857067986467181,30,229,COMPLETE
4,0.3523497879721572,2025-12-06 18:37:34.236630,2025-12-06 18:45:25.022365,0 days 00:07:50.785735,0.7617396204798939,2,0.9552910517324068,0.0014005815219264844,35,36,COMPLETE
5,0.19918991331160063,2025-12-06 18:45:25.023908,2025-12-06 18:53:02.205422,0 days 00:07:37.181514,0.7324029485938636,1,0.7133690562424275,0.0072621706398825195,37,74,COMPLETE
6,0.17831057068965483,2025-12-06 18:53:02.209701,2025-12-06 19:01:04.120965,0 days 00:08:01.911264,0.9661376952827072,5,0.7035880874534718,0.01600499863627885,19,90,COMPLETE
7,0.2245681586559029,2025-12-06 19:01:04.123584,2025-12-06 19:13:22.237773,0 days 00:12:18.114189,0.8083385069227703,4,0.8289186446625432,0.0027264885335843906,82,130,COMPLETE
8,0.2026412112360035,2025-12-06 19:13:22.239114,2025-12-06 19:31:27.848115,0 days 00:18:05.609001,0.816935179759023,1,0.9862103740889027,0.002887626075288835,38,245,COMPLETE
9,0.1568962246486427,2025-12-06 19:31:27.851956,2025-12-06 19:42:02.063387,0 days 00:10:34.211431,0.8570072235240183,5,0.7718611901596872,0.06029989061724673,42,200,COMPLETE
10,0.15767361486790882,2025-12-06 19:42:02.066098,2025-12-06 19:52:58.294487,0 days 00:10:56.228389,0.8777377560427564,5,0.771842927549595,0.06549021588108755,63,196,COMPLETE
11,0.15792594426940695,2025-12-06 19:52:58.295672,2025-12-06 20:04:07.541844,0 days 00:11:09.246172,0.8777880320297194,5,0.7673192950571839,0.07597301819188047,63,189,COMPLETE
12,0.16029237072880642,2025-12-06 20:04:07.543348,2025-12-06 20:15:29.917341,0 days 00:11:22.373993,0.8406430157188042,5,0.7590610239755381,0.03442215759040806,56,187,COMPLETE
13,0.15956565892321142,2025-12-06 20:15:29.919730,2025-12-06 20:27:27.584423,0 days 00:11:57.664693,0.9310533392812433,4,0.7783917682253397,0.03981984893621126,73,193,COMPLETE
14,0.16065777595025654,2025-12-06 20:27:27.586188,2025-12-06 20:37:40.132830,0 days 00:10:12.546642,0.853715476052334,5,0.8752715175474404,0.040167121817495474,12,164,COMPLETE
15,0.15600680183087873,2025-12-06 20:37:40.134139,2025-12-06 20:49:03.931707,0 days 00:11:23.797568,0.9320725624117421,4,0.7973306552882696,0.09546836967069545,49,219,COMPLETE
16,0.15625511679720186,2025-12-06 20:49:03.932953,2025-12-06 21:00:27.094463,0 days 00:11:23.161510,0.9328734677455234,4,0.801046558065247,0.09723461036480899,48,221,COMPLETE
17,0.1558760794512481,2025-12-06 21:00:27.098061,2025-12-06 21:13:42.274886,0 days 00:13:15.176825,0.9451244100961127,4,0.8230728453976263,0.09066675289535898,51,247,COMPLETE
18,0.16228362324053727,2025-12-06 21:13:42.278498,2025-12-06 21:29:53.742992,0 days 00:16:11.464494,0.9908091104595642,3,0.90623056722662,0.016218576703966932,26,252,COMPLETE
19,0.15982937201383085,2025-12-06 21:29:53.744349,2025-12-06 21:43:53.112399,0 days 00:13:59.368050,0.941784418574679,3,0.8482661605334468,0.026704206389317295,53,223,COMPLETE
20,0.1716566682642647,2025-12-06 21:43:53.114307,2025-12-06 21:56:20.022169,0 days 00:12:26.907862,0.9586787666474677,2,0.734562010727946,0.0131702526056599,77,155,COMPLETE
21,0.15674275057471937,2025-12-06 21:56:20.023791,2025-12-06 22:08:31.453659,0 days 00:12:11.429868,0.920644172413953,4,0.7995954178629238,0.09571400820569559,52,222,COMPLETE
22,0.15615426574146724,2025-12-06 22:08:31.463018,2025-12-06 22:21:21.722662,0 days 00:12:50.259644,0.9461303735708868,4,0.8072821835796802,0.04926008831457756,48,238,COMPLETE
23,0.1564199841244347,2025-12-06 22:21:21.728609,2025-12-06 22:35:57.007378,0 days 00:14:35.278769,0.9566991003731884,4,0.8238126026050896,0.04788593937638456,57,255,COMPLETE
24,0.1586036217846206,2025-12-06 22:35:57.010253,2025-12-06 22:50:05.817407,0 days 00:14:08.807154,0.8992632853252919,4,0.8657685904503029,0.029074973752013497,45,237,COMPLETE
25,0.1575532396677045,2025-12-06 22:50:05.819284,2025-12-06 23:00:17.712820,0 days 00:10:11.893536,0.9944769876113995,3,0.9053091740929333,0.09676062630307054,28,170,COMPLETE
26,0.15748513470720232,2025-12-06 23:00:17.717712,2025-12-06 23:11:48.406398,0 days 00:11:30.688686,0.9502140178614421,4,0.7997174506017192,0.06123813176481086,71,214,COMPLETE
27,0.15774885943067923,2025-12-06 23:11:48.412242,2025-12-06 23:23:46.323500,0 days 00:11:57.911258,0.9119265530426373,4,0.8483530281776002,0.04746725608464445,59,211,COMPLETE
28,0.15956144448537643,2025-12-06 23:23:46.327671,2025-12-06 23:37:22.541678,0 days 00:13:36.214007,0.9695635746561264,2,0.7369660978148663,0.023852733322207578,50,238,COMPLETE
29,0.18359284568258288,2025-12-06 23:37:22.543711,2025-12-06 23:47:14.441868,0 days 00:09:51.898157,0.7014518264208442,3,0.8991229079416556,0.010865183267795146,94,108,COMPLETE
30,0.16054959137461336,2025-12-06 23:47:14.443843,2025-12-06 23:59:32.839126,0 days 00:12:18.395283,0.8855500347301491,3,0.9291038354009167,0.050592834567674445,89,174,COMPLETE
31,0.15649900523165808,2025-12-06 23:59:32.841408,2025-12-07 00:10:29.974435,0 days 00:10:57.133027,0.9307373749059062,4,0.8012393574903894,0.09600014843396149,47,212,COMPLETE
32,0.15886692415866915,2025-12-07 00:10:29.977044,2025-12-07 00:19:30.064699,0 days 00:09:00.087655,0.940162450870277,4,0.8163552288724418,0.07712025845669662,42,145,COMPLETE
33,0.1554015989618062,2025-12-07 00:19:30.068677,2025-12-07 00:31:53.534144,0 days 00:12:23.465467,0.9163352925711534,4,0.7935061143587194,0.07842099708436744,49,256,COMPLETE
