number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.16122292701276486,2025-12-08 09:05:59.630337,2025-12-08 09:20:19.716970,0 days 00:14:20.086633,0.8986079517197119,4,0.820911515412293,0.023569229435299183,59,216,COMPLETE
1,0.16343153810687322,2025-12-08 09:20:19.719168,2025-12-08 09:36:01.326111,0 days 00:15:41.606943,0.7045365501575446,5,0.8924297554100104,0.029123401623202535,91,223,COMPLETE
2,0.17560664226923142,2025-12-08 09:36:01.330073,2025-12-08 09:43:46.157653,0 days 00:07:44.827580,0.8785978741719486,2,0.8329305409725136,0.027886669964724144,44,66,COMPLETE
3,0.24858186169703353,2025-12-08 09:43:46.159984,2025-12-08 10:00:22.303298,0 days 00:16:36.143314,0.9124428293106186,3,0.8930669477684176,0.001911696067295143,46,174,COMPLETE
4,0.20521323154375493,2025-12-08 10:00:22.305032,2025-12-08 10:14:06.010463,0 days 00:13:43.705431,0.8282672035153418,5,0.837179697586887,0.004017948480269392,38,116,COMPLETE
5,0.16984029130952696,2025-12-08 10:14:06.012857,2025-12-08 10:20:36.766228,0 days 00:06:30.753371,0.9293161047431242,2,0.8423518041281121,0.07845562656484084,26,47,COMPLETE
6,0.1645893653415903,2025-12-08 10:20:36.768493,2025-12-08 10:34:49.959428,0 days 00:14:13.190935,0.7537004470193955,4,0.8311554782953042,0.018124989901312272,84,247,COMPLETE
7,0.18718721990363854,2025-12-08 10:34:49.961728,2025-12-08 10:45:45.847553,0 days 00:10:55.885825,0.7640968465986475,4,0.7925908292504181,0.007167549899014623,36,116,COMPLETE
8,0.2014770349622724,2025-12-08 10:45:45.850135,2025-12-08 10:53:54.648752,0 days 00:08:08.798617,0.7361750936549467,5,0.9615207393529182,0.00979651536002473,98,55,COMPLETE
9,0.16401016742666846,2025-12-08 10:53:54.651724,2025-12-08 11:09:47.304854,0 days 00:15:52.653130,0.9062269919689944,2,0.9461803979513084,0.01818944885655328,56,210,COMPLETE
10,0.15859594882557268,2025-12-08 11:09:47.308258,2025-12-08 11:19:03.255679,0 days 00:09:15.947421,0.9867069045657477,1,0.7033317141719586,0.09479066925104121,69,169,COMPLETE
11,0.1586222796804401,2025-12-08 11:19:03.258711,2025-12-08 11:28:36.827336,0 days 00:09:33.568625,0.9966628638117122,1,0.7003010329587547,0.09852344727093387,67,167,COMPLETE
12,0.1587125876667094,2025-12-08 11:28:36.830521,2025-12-08 11:38:05.632556,0 days 00:09:28.802035,0.990384964749223,1,0.7082106939172452,0.0913420323390806,74,159,COMPLETE
13,0.1586922371910795,2025-12-08 11:38:05.645726,2025-12-08 11:48:28.198311,0 days 00:10:22.552585,0.9982998059103139,1,0.7017237013455934,0.05761454384190414,69,169,COMPLETE
14,0.16222615182388392,2025-12-08 11:48:28.201837,2025-12-08 11:57:02.910445,0 days 00:08:34.708608,0.9592552636735091,1,0.7540798117418221,0.04688712447521968,11,139,COMPLETE
15,0.16265851449704596,2025-12-08 11:57:02.916437,2025-12-08 12:05:26.604227,0 days 00:08:23.687790,0.8307446915204029,2,0.7567086160516,0.09769311680764144,72,90,COMPLETE
16,0.35800048318386873,2025-12-08 12:05:26.606882,2025-12-08 12:19:48.671237,0 days 00:14:22.064355,0.9601349155589655,1,0.7437093045528127,0.0010691416301216092,81,189,COMPLETE
17,0.1611704021632863,2025-12-08 12:19:48.674720,2025-12-08 12:31:15.704666,0 days 00:11:27.029946,0.9561788170126054,3,0.7817335863470256,0.042488958654559476,62,142,COMPLETE
18,0.18400811942489143,2025-12-08 12:31:15.707507,2025-12-08 12:51:22.861739,0 days 00:20:07.154232,0.9781091339928959,1,0.7263429527375099,0.0052455409856707,65,191,COMPLETE
19,0.18845374196503353,2025-12-08 12:51:22.864813,2025-12-08 12:56:43.642640,0 days 00:05:20.777827,0.7961833716661557,3,0.9954632362157598,0.055541056668232766,83,21,COMPLETE
20,0.17465020551641072,2025-12-08 12:56:43.644788,2025-12-08 13:08:38.851100,0 days 00:11:55.206312,0.8668237517637443,2,0.7981965894330847,0.013052344470759602,50,124,COMPLETE
21,0.15868246038671635,2025-12-08 13:08:38.853234,2025-12-08 13:17:53.100340,0 days 00:09:14.247106,0.9948468000492094,1,0.7035253949909713,0.06459765476482851,72,165,COMPLETE
22,0.159260256912135,2025-12-08 13:17:53.104717,2025-12-08 13:26:22.478894,0 days 00:08:29.374177,0.9382045116738101,1,0.7306844813944262,0.07049227753940727,77,155,COMPLETE
23,0.16064650907786318,2025-12-08 13:26:22.484610,2025-12-08 13:37:59.230465,0 days 00:11:36.745855,0.9767728020490909,1,0.7009658321403315,0.03665258903701578,91,190,COMPLETE
24,0.16261197079462258,2025-12-08 13:37:59.232549,2025-12-08 13:46:32.329177,0 days 00:08:33.096628,0.9353651654230921,2,0.7710968613861808,0.06831943115609755,63,96,COMPLETE
25,0.15656333850909337,2025-12-08 13:46:32.331492,2025-12-08 14:00:23.252655,0 days 00:13:50.921163,0.9881057550057283,1,0.7311298800273229,0.099284888735569,54,255,COMPLETE
26,0.15586516581710702,2025-12-08 14:00:23.254833,2025-12-08 14:16:33.681913,0 days 00:16:10.427080,0.9676772896064991,2,0.727536043086371,0.09155705422460922,52,256,COMPLETE
27,0.15692931876378463,2025-12-08 14:16:33.684633,2025-12-08 14:29:54.452035,0 days 00:13:20.767402,0.9542804899856332,2,0.72890133237854,0.03687651759565556,50,247,COMPLETE
28,0.15622364512972348,2025-12-08 14:29:54.455268,2025-12-08 14:43:24.224769,0 days 00:13:29.769501,0.9522740400960565,3,0.8735242899708481,0.04166525484190014,28,251,COMPLETE
29,0.15911493142661018,2025-12-08 14:43:24.226760,2025-12-08 14:58:42.795794,0 days 00:15:18.569034,0.9235872324915432,3,0.8747519286421603,0.022718312118397307,26,256,COMPLETE
30,0.1569235535278795,2025-12-08 14:58:42.797560,2025-12-08 15:10:34.827071,0 days 00:11:52.029511,0.8918398741344435,4,0.8668026171873733,0.04439937988482156,14,227,COMPLETE
31,0.1562943163340163,2025-12-08 15:10:34.829048,2025-12-08 15:22:42.328401,0 days 00:12:07.499353,0.8852235226497768,4,0.8759257129554125,0.05235747684709084,11,229,COMPLETE
32,0.15869134808403584,2025-12-08 15:22:42.330216,2025-12-08 15:35:17.934462,0 days 00:12:35.604246,0.8596383966213687,4,0.9123198317184995,0.029289797573164852,19,231,COMPLETE
33,0.15717231102479254,2025-12-08 15:35:17.939520,2025-12-08 15:46:08.612660,0 days 00:10:50.673140,0.9441408311108697,4,0.803279851227674,0.049060652407936674,31,205,COMPLETE
34,0.15786576111343295,2025-12-08 15:46:08.614442,2025-12-08 15:59:31.604437,0 days 00:13:22.989995,0.8807064437771684,3,0.910049300864859,0.03242102796774423,21,235,COMPLETE
35,0.15553719086145917,2025-12-08 15:59:31.606815,2025-12-08 16:12:19.178626,0 days 00:12:47.571811,0.9721241140817933,3,0.8662883477214048,0.07363428186982231,43,255,COMPLETE
36,0.1612494905045783,2025-12-08 16:12:19.189202,2025-12-08 16:25:18.852351,0 days 00:12:59.663149,0.9054672282298406,3,0.8596410156689019,0.02178944802238171,41,216,COMPLETE
37,0.15580367112333912,2025-12-08 16:25:18.853893,2025-12-08 16:37:22.912444,0 days 00:12:04.058551,0.8348250950042051,5,0.8891241232760307,0.07406888406423134,33,240,COMPLETE
38,0.15587534863858696,2025-12-08 16:37:22.920175,2025-12-08 16:50:43.488511,0 days 00:13:20.568336,0.831079967681975,5,0.9105411898280772,0.0716605747771545,33,242,COMPLETE
39,0.21035303066661068,2025-12-08 16:50:43.492119,2025-12-08 17:10:57.720810,0 days 00:20:14.228691,0.8283766522362458,5,0.8996261191707026,0.0025839914886838966,35,238,COMPLETE
40,0.15702141934544583,2025-12-08 17:10:57.723321,2025-12-08 17:21:36.933630,0 days 00:10:39.210309,0.8014076747174043,5,0.9286211765565128,0.0753699613531413,44,216,COMPLETE
41,0.15559374934284084,2025-12-08 17:21:36.936194,2025-12-08 17:33:58.254264,0 days 00:12:21.318070,0.8077560377940791,5,0.8503570342037797,0.07642449942947573,30,243,COMPLETE
42,0.15612003767922086,2025-12-08 17:33:58.256730,2025-12-08 17:48:16.294673,0 days 00:14:18.037943,0.8076113609828621,5,0.8179053091092093,0.06666766054714234,39,240,COMPLETE
43,0.1567149401529028,2025-12-08 17:48:16.296815,2025-12-08 17:59:10.333183,0 days 00:10:54.036368,0.8422042548759702,5,0.8488517895490112,0.08294983750594809,33,202,COMPLETE
44,0.1565249440059868,2025-12-08 17:59:10.334631,2025-12-08 18:11:50.573054,0 days 00:12:40.238423,0.7880025284698741,5,0.8887482558205463,0.06005584092940424,46,242,COMPLETE
45,0.1564153656203159,2025-12-08 18:11:50.575551,2025-12-08 18:23:06.593351,0 days 00:11:16.017800,0.7783858821155459,5,0.8215840750809004,0.07801051064133521,22,221,COMPLETE
46,0.15890659187367434,2025-12-08 18:23:06.594603,2025-12-08 18:37:18.931941,0 days 00:14:12.337338,0.8097878638363334,4,0.948148242643516,0.027525818818837075,29,244,COMPLETE
47,0.15764807175029133,2025-12-08 18:37:18.933903,2025-12-08 18:49:00.329590,0 days 00:11:41.395687,0.7373746330604035,5,0.92010507375068,0.07909229481160182,40,200,COMPLETE
48,0.16818929838189367,2025-12-08 18:49:00.331261,2025-12-08 19:03:39.507728,0 days 00:14:39.176467,0.8535314709166761,4,0.8365149265769298,0.011375655965378588,57,220,COMPLETE
49,0.163393878323396,2025-12-08 19:03:39.510007,2025-12-08 19:18:30.896117,0 days 00:14:51.386110,0.8376890556594896,5,0.8867008604365368,0.017177077724333516,51,233,COMPLETE
