number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.2045215461157664,2025-12-07 22:57:32.063865,2025-12-07 23:15:02.538446,0 days 00:17:30.474581,0.8670572480016119,4,0.8738316262540823,0.0028138226462603817,45,237,COMPLETE
1,0.27720281355292037,2025-12-07 23:15:02.541699,2025-12-07 23:26:10.121039,0 days 00:11:07.579340,0.8771973122432484,2,0.8544018541759384,0.0018247276397552596,58,83,COMPLETE
2,0.19598403598201758,2025-12-07 23:26:10.122689,2025-12-07 23:33:15.668283,0 days 00:07:05.545594,0.8762248747809818,5,0.8668118849431821,0.012465704202126882,45,52,COMPLETE
3,0.16803757432213798,2025-12-07 23:33:15.670981,2025-12-07 23:47:37.370083,0 days 00:14:21.699102,0.739228806175656,4,0.9819798119779226,0.013779547449360984,60,217,COMPLETE
4,0.1911887244834864,2025-12-07 23:47:37.373162,2025-12-07 23:53:39.009445,0 days 00:06:01.636283,0.845073399204756,4,0.9303422000653827,0.02441295019469876,88,37,COMPLETE
5,0.22599472809872356,2025-12-07 23:53:39.011157,2025-12-08 00:04:25.061791,0 days 00:10:46.050634,0.9602884367995532,4,0.7334324271199414,0.003122849378183525,18,89,COMPLETE
6,0.18308643179484058,2025-12-08 00:04:25.064066,2025-12-08 00:15:22.246836,0 days 00:10:57.182770,0.8337014107644917,2,0.705769012792907,0.009017960506092302,66,115,COMPLETE
7,0.3415514449183443,2025-12-08 00:15:22.248613,2025-12-08 00:28:51.365088,0 days 00:13:29.116475,0.9948229203384631,4,0.9667681097151536,0.001191478578298556,31,118,COMPLETE
8,0.16088795452496685,2025-12-08 00:28:51.367287,2025-12-08 00:38:02.756725,0 days 00:09:11.389438,0.9821452561731854,3,0.8186115530582274,0.06989930424993862,89,122,COMPLETE
9,0.15844902544613443,2025-12-08 00:38:02.758346,2025-12-08 00:50:59.634457,0 days 00:12:56.876111,0.867406608532853,4,0.8830799360193955,0.08058536005109936,80,238,COMPLETE
10,0.15947258945805537,2025-12-08 00:50:59.635939,2025-12-08 01:01:02.738041,0 days 00:10:03.102102,0.7668313882395547,1,0.8101273755011213,0.09108735096517824,76,184,COMPLETE
11,0.15995080639093645,2025-12-08 01:01:02.739674,2025-12-08 01:11:19.567686,0 days 00:10:16.828012,0.7483361165570549,1,0.7951015890824923,0.09122732583683207,76,188,COMPLETE
12,0.16061544933961608,2025-12-08 01:11:19.569744,2025-12-08 01:21:32.870146,0 days 00:10:13.300402,0.7890798488353937,1,0.773069830840287,0.04303999900460913,78,177,COMPLETE
13,0.1627481767044051,2025-12-08 01:21:32.872194,2025-12-08 01:37:11.268271,0 days 00:15:38.396077,0.7051017598111794,2,0.9164527173951746,0.036155425106998276,99,252,COMPLETE
14,0.1592005410110774,2025-12-08 01:37:11.269924,2025-12-08 01:48:19.107605,0 days 00:11:07.837681,0.9309163235692111,3,0.8187111888276456,0.0582930582140104,73,165,COMPLETE
