number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_fair_c,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,params_objective,state
0,0.15683513972083243,2025-12-04 16:34:45.213008,2025-12-04 16:38:46.402223,0 days 00:04:01.189215,0.8830400838285364,3,8.333430408995596,0.9013962596608218,0.060775418718736124,33,180,fair,COMPLETE
1,0.4751948112296126,2025-12-04 16:38:46.404273,2025-12-04 16:42:17.239544,0 days 00:03:30.835271,0.7430547589095375,3,,0.7213999215217753,0.0010136302145404038,74,106,regression,COMPLETE
2,0.2183614593555668,2025-12-04 16:42:17.242821,2025-12-04 16:46:56.273815,0 days 00:04:39.030994,0.8962943345957038,5,,0.8478562782709157,0.003690793034532436,44,150,regression,COMPLETE
3,0.20407419136757965,2025-12-04 16:46:56.275948,2025-12-04 16:49:48.895160,0 days 00:02:52.619212,0.7766178305973584,5,1.4276502790530798,0.7037843367893973,0.00811683751560467,56,68,fair,COMPLETE
4,0.16147032203890357,2025-12-04 16:49:48.896832,2025-12-04 16:52:28.065880,0 days 00:02:39.169048,0.7905522505199565,2,8.148561275723537,0.8081426721630204,0.09148777128066986,47,99,fair,COMPLETE
5,0.19154782121149524,2025-12-04 16:52:28.067291,2025-12-04 16:57:36.226709,0 days 00:05:08.159418,0.703715892516897,1,,0.8448416854999607,0.005119136850561763,53,224,regression,COMPLETE
6,0.15773264848469845,2025-12-04 16:57:36.228436,2025-12-04 17:00:43.612232,0 days 00:03:07.383796,0.9824830214148795,5,,0.7503566173577034,0.07284276221838555,39,142,regression,COMPLETE
7,0.1791298868315839,2025-12-04 17:00:43.613736,2025-12-04 17:05:48.413123,0 days 00:05:04.799387,0.9612579943345491,1,,0.8460858737421451,0.011707458869622734,14,191,regression_l1,COMPLETE
8,0.21217336126667008,2025-12-04 17:05:48.414890,2025-12-04 17:10:21.063307,0 days 00:04:32.648417,0.7782255212590526,4,,0.911243833292212,0.005136470008422183,80,140,regression_l1,COMPLETE
9,0.18310224166727457,2025-12-04 17:10:21.071017,2025-12-04 17:15:36.356097,0 days 00:05:15.285080,0.98143884432013,2,,0.7244116718658851,0.008139685359915865,34,164,regression,COMPLETE
10,0.15701287985908036,2025-12-04 17:15:36.361175,2025-12-04 17:20:56.932356,0 days 00:05:20.571181,0.8727218116972274,3,9.769289899107756,0.9714635877841614,0.034771916326663085,11,256,fair,COMPLETE
11,0.15721386978809604,2025-12-04 17:20:56.938136,2025-12-04 17:26:23.793479,0 days 00:05:26.855343,0.8710937241148483,3,9.980980321149149,0.9987325340278599,0.034675516361536346,12,253,fair,COMPLETE
12,0.2070483781865457,2025-12-04 17:26:23.795488,2025-12-04 17:28:25.757929,0 days 00:02:01.962441,0.9107957421655275,3,7.448357940476674,0.9412390344654877,0.030260739146571063,24,22,fair,COMPLETE
13,0.1582438724382142,2025-12-04 17:28:25.759401,2025-12-04 17:33:16.632016,0 days 00:04:50.872615,0.8462517404299305,4,9.943838335975622,0.9343292799574192,0.03267177250214817,24,207,fair,COMPLETE
14,0.16071822607170283,2025-12-04 17:33:16.633921,2025-12-04 17:41:17.658324,0 days 00:08:01.024403,0.9254711131441868,2,5.347722138815572,0.988636946041044,0.018680648632920103,25,253,fair,COMPLETE
15,0.15678842346992497,2025-12-04 17:41:17.660300,2025-12-04 17:45:05.069058,0 days 00:03:47.408758,0.8476142094241746,4,7.076349369926486,0.8929645428807198,0.05916930116986027,31,184,fair,COMPLETE
16,0.17140868816153182,2025-12-04 17:45:05.070668,2025-12-04 17:49:17.382224,0 days 00:04:12.311556,0.8271669909850213,4,,0.8822022724076249,0.060133924162853306,96,182,regression_l1,COMPLETE
17,0.15693803224668143,2025-12-04 17:49:17.383940,2025-12-04 17:53:54.512737,0 days 00:04:37.128797,0.8131170892201306,4,6.077489929016896,0.7975495706827247,0.049861671148130636,64,217,fair,COMPLETE
18,0.1735450704784068,2025-12-04 17:53:54.514454,2025-12-04 17:57:27.164528,0 days 00:03:32.650074,0.9408014964424642,4,3.1390815838247206,0.8873028543632686,0.019420334310627178,33,106,fair,COMPLETE
19,0.1576602117551197,2025-12-04 17:57:27.166064,2025-12-04 18:01:19.553490,0 days 00:03:52.387426,0.874002155301822,2,7.4907312272848,0.8980071303053891,0.09727342391846257,28,182,fair,COMPLETE
20,0.1773225395389817,2025-12-04 18:01:19.555142,2025-12-04 18:05:31.998389,0 days 00:04:12.443247,0.8378409972996402,4,,0.8109849630583015,0.01861566357824038,64,171,regression_l1,COMPLETE
21,0.15703900547130142,2025-12-04 18:05:32.000617,2025-12-04 18:10:02.618168,0 days 00:04:30.617551,0.823869120333555,4,5.819554728137372,0.7876400886176785,0.05107240149828345,64,218,fair,COMPLETE
22,0.1589337652347947,2025-12-04 18:10:02.620797,2025-12-04 18:14:57.784306,0 days 00:04:55.163509,0.8134046182408327,3,6.520089532290139,0.9295169060631934,0.04704232159560326,81,208,fair,COMPLETE
23,0.1575351845949326,2025-12-04 18:14:57.786150,2025-12-04 18:19:28.930545,0 days 00:04:31.144395,0.8020128046485042,5,4.098691699921024,0.8716246289225306,0.061168782813571604,64,198,fair,COMPLETE
24,0.15909691417756225,2025-12-04 18:19:28.932091,2025-12-04 18:24:32.615792,0 days 00:05:03.683701,0.8863995530721765,3,8.362836143272379,0.7753865718361597,0.025187720431519997,54,231,fair,COMPLETE
25,0.15882265939999754,2025-12-04 18:24:32.619029,2025-12-04 18:28:11.903749,0 days 00:03:39.284720,0.8560154384500991,4,6.7683074527964955,0.8219312851692725,0.0456508444032326,44,158,fair,COMPLETE
26,0.1820154956552545,2025-12-04 18:28:11.906951,2025-12-04 18:32:11.889955,0 days 00:03:59.983004,0.7563943739377389,4,4.441721984056764,0.8728534723267894,0.012628637602333867,100,123,fair,COMPLETE
27,0.3482507751569769,2025-12-04 18:32:11.891605,2025-12-04 18:38:59.714961,0 days 00:06:47.823356,0.9064993351183088,5,8.714568543562407,0.9662265665591555,0.001334826000035706,33,236,fair,COMPLETE
28,0.16730033279949044,2025-12-04 18:38:59.716998,2025-12-04 18:42:46.008553,0 days 00:03:46.291555,0.8508432144058427,4,,0.91256595518666,0.08125777819141289,19,173,regression_l1,COMPLETE
29,0.28493417398277054,2025-12-04 18:42:46.010468,2025-12-04 18:46:16.449389,0 days 00:03:30.438921,0.7274428689895357,3,6.3525729541115314,0.7646708509796357,0.0019334212067159576,74,121,fair,COMPLETE
